Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161031,20161031,Exposure1,A1,Ambient,13.21,-51.5,29.4,,
20161031,20161031,Exposure1,A2,Ambient,13.24,-51.4,29.4,,
20161031,20161031,Exposure1,A3,Ambient,13.28,-50.9,29.4,,
20161031,20161031,Exposure1,A4,Ambient,13.37,-51.4,29.4,,
20161031,20161031,Exposure1,B1,low_pH,13.16,-33,29.4,,
20161031,20161031,Exposure1,B2,low_pH,13.23,-31.6,29.3,,
20161031,20161031,Exposure1,B3,low_pH,13.29,-31,29.4,,
20161031,20161031,Exposure1,B4,low_pH,13.22,-30.9,29.3,,
20161031,20161031,Exposure1,Header1,Ambient,13.6,-54.4,29.6,,
20161031,20161031,Exposure1,Header2,low_pH,13.62,-35.1,29.7,,
