Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161116,20161116,Exposure1,A1,Ambient,12.63,-53.2,29.2,,
20161116,20161116,Exposure1,A2,Ambient,12.71,-53.4,29.3,,
20161116,20161116,Exposure1,A3,Ambient,12.72,-52.6,29.3,,
20161116,20161116,Exposure1,A4,Ambient,12.87,-52.6,29.4,,
20161116,20161116,Exposure1,B1,low_pH,12.55,-32.9,29.2,,
20161116,20161116,Exposure1,B2,low_pH,12.71,-32.9,29.2,,
20161116,20161116,Exposure1,B3,low_pH,12.85,-32.7,29.2,,
20161116,20161116,Exposure1,B4,low_pH,12.65,-31.9,29.2,,
20161116,20161116,Exposure1,Header1,Ambient,13.32,-33,29.6,,
20161116,20161116,Exposure1,Header2,low_pH,13.25,-54.7,29.5,,
