Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161012,20161012,Exposure1,A1,Ambient,13.19,-52.8,29.5,,
20161012,20161012,Exposure1,A2,Ambient,13.09,-52.7,29.6,,
20161012,20161012,Exposure1,A3,Ambient,13.18,-52.5,29.5,,
20161012,20161012,Exposure1,A4,Ambient,13.21,-52.6,29.5,,
20161012,20161012,Exposure1,B1,low_pH,13.09,-35.3,29.5,,
20161012,20161012,Exposure1,B2,low_pH,13.11,-33.7,29.4,,
20161012,20161012,Exposure1,B3,low_pH,13.36,-33.5,29.5,,
20161012,20161012,Exposure1,B4,low_pH,13.23,-33.6,29.3,,
20161012,20161012,Exposure1,Header1,Ambient,13.8,-52.3,29.7,,
20161012,20161012,Exposure1,Header2,low_pH,13.72,-37.5,29.7,,
