Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161014,20161014,Exposure1,A1,Ambient,13.56,-52.9,29.3,,
20161014,20161014,Exposure1,A2,Ambient,13.61,-53.5,29.4,,
20161014,20161014,Exposure1,A3,Ambient,13.65,-53.2,29.4,,
20161014,20161014,Exposure1,A4,Ambient,13.67,-53.5,29.5,,
20161014,20161014,Exposure1,B1,low_pH,13.59,-33.1,29.4,,
20161014,20161014,Exposure1,B2,low_pH,13.59,-33.5,29.4,,
20161014,20161014,Exposure1,B3,low_pH,13.7,-32.8,29.4,,
20161014,20161014,Exposure1,B4,low_pH,13.68,-32.8,29.4,,
20161014,20161014,Exposure1,Header1,Ambient,13.94,-55.6,29.7,,
20161014,20161014,Exposure1,Header2,low_pH,13.99,-32.5,29.7,,
