Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161121,20161121,Exposure1,A1,Ambient,12.59,-53.1,29,,
20161121,20161121,Exposure1,A2,Ambient,12.75,-52.6,29.1,,
20161121,20161121,Exposure1,A3,Ambient,12.68,-51.3,29.1,,
20161121,20161121,Exposure1,A4,Ambient,12.77,-51.1,29.2,,
20161121,20161121,Exposure1,B1,low_pH,12.6,-32.4,29.1,,
20161121,20161121,Exposure1,B2,low_pH,12.67,-32.2,29.1,,
20161121,20161121,Exposure1,B3,low_pH,12.48,-29.1,29.2,,
20161121,20161121,Exposure1,B4,low_pH,12.66,-29.6,29.1,,
20161121,20161121,Exposure1,Header1,Ambient,13.25,-54.9,29.2,,
20161121,20161121,Exposure1,Header2,low_pH,13.27,-32.6,29.3,,
