Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161021,20161021,Exposure1,A1,Ambient,12.94,-51.2,29.3,,
20161021,20161021,Exposure1,A2,Ambient,13.05,-51.6,29.3,,
20161021,20161021,Exposure1,A3,Ambient,13,-51.5,29.3,,
20161021,20161021,Exposure1,A4,Ambient,13.16,-51.4,29.3,,
20161021,20161021,Exposure1,B1,low_pH,12.92,-31.8,29.2,,
20161021,20161021,Exposure1,B2,low_pH,12.97,-31.5,29.2,,
20161021,20161021,Exposure1,B3,low_pH,12.99,-31,29.2,,
20161021,20161021,Exposure1,B4,low_pH,12.92,-31.2,29.1,,
20161021,20161021,Exposure1,Header1,Ambient,13.44,-53.9,29.5,,
20161021,20161021,Exposure1,Header2,low_pH,13.51,-34.6,29.5,,
