Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161010,20161010,Exposure1,A1,Ambient,13.94,-51.6,29.2,,
20161010,20161010,Exposure1,A2,Ambient,13.92,-51.4,29.2,,
20161010,20161010,Exposure1,A3,Ambient,14.02,-51.6,29.2,,
20161010,20161010,Exposure1,A4,Ambient,13.94,-51.6,29.2,,
20161010,20161010,Exposure1,B1,low_pH,13.99,-33.4,29.1,,
20161010,20161010,Exposure1,B2,low_pH,14.07,-32.5,29.3,,
20161010,20161010,Exposure1,B3,low_pH,14.08,-32,29.3,,
20161010,20161010,Exposure1,B4,low_pH,13.99,-32.3,29,,
20161010,20161010,Exposure1,Header1,Ambient,14.57,-55.5,29.5,,
20161010,20161010,Exposure1,Header2,low_pH,14.49,-37.6,29.5,,
