Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161021,20161021,Exposure1,A1,Ambient,13.28,-52.4,29.3,,
20161021,20161021,Exposure1,A2,Ambient,13.41,-52.9,29.4,,
20161021,20161021,Exposure1,A3,Ambient,13.43,-52.9,29.3,,
20161021,20161021,Exposure1,A4,Ambient,13.48,-52.9,29.4,,
20161021,20161021,Exposure1,B1,low_pH,13.3,-33.4,29.3,,
20161021,20161021,Exposure1,B2,low_pH,13.32,-33.7,29.3,,
20161021,20161021,Exposure1,B3,low_pH,13.4,-33.4,29.3,,
20161021,20161021,Exposure1,B4,low_pH,13.27,-33,29.1,,
20161021,20161021,Exposure1,Header1,Ambient,13.62,-54.5,29.6,,
20161021,20161021,Exposure1,Header2,low_pH,13.66,-33.2,29.6,,
