Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161001,20161001,Exposure1,A1,Ambient,13.85,-25,29.1,,
20161001,20161001,Exposure1,A2,Ambient,13.59,-25.4,28.8,,
20161001,20161001,Exposure1,A3,Ambient,14.56,-42.6,28.8,,
20161001,20161001,Exposure1,A4,Ambient,14.21,-40.6,28.9,,
20161001,20161001,Exposure1,B1,Ambient,14.45,-43.6,29.2,,
20161001,20161001,Exposure1,B2,Ambient,14.52,-43.7,29.2,,
20161001,20161001,Exposure1,B3,Ambient,14.56,-46.9,29.2,,
20161001,20161001,Exposure1,B4,Ambient,14.72,-49,29.2,,
20161001,20161001,Exposure1,Header1,Ambient,15.44,-58.7,29.9,,
20161001,20161001,Exposure1,Header2,Ambient,15.98,-58.7,28.8,,
