Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161107,20161107,Exposure1,A1,Ambient,13.46,-52.3,29,,
20161107,20161107,Exposure1,A2,Ambient,13.53,-52.4,29.5,,
20161107,20161107,Exposure1,A3,Ambient,13.46,-51.7,29.3,,
20161107,20161107,Exposure1,A4,Ambient,13.44,-51.4,29.1,,
20161107,20161107,Exposure1,B1,low_pH,13.45,-32.9,29.2,,
20161107,20161107,Exposure1,B2,low_pH,13.45,-33,29.1,,
20161107,20161107,Exposure1,B3,low_pH,13.47,-32.5,29.1,,
20161107,20161107,Exposure1,B4,low_pH,13.47,-31.5,29.1,,
20161107,20161107,Exposure1,Header1,Ambient,13.85,-54.8,29.4,,
20161107,20161107,Exposure1,Header2,low_pH,13.82,-33.7,29.4,,
