Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161005,20161005,Exposure1,A1,Ambient,14.79,-47.1,28.9,,
20161005,20161005,Exposure1,A2,Ambient,14.81,-49.6,29,,
20161005,20161005,Exposure1,A3,Ambient,14.8,-50.2,29,,
20161005,20161005,Exposure1,A4,Ambient,14.73,-49.7,29,,
20161005,20161005,Exposure1,B1,low_pH,14.7,-31.1,28.9,,
20161005,20161005,Exposure1,B2,low_pH,14.74,-30.6,29,,
20161005,20161005,Exposure1,B3,low_pH,14.73,-30.3,29,,
20161005,20161005,Exposure1,B4,low_pH,14.68,-30.5,29,,
20161005,20161005,Exposure1,Header1,Ambient,14.96,-53.2,29.5,,
20161005,20161005,Exposure1,Header2,low_pH,15.02,-36.7,29.5,,
