Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161109,20161109,Exposure1,A1,Ambient,13.99,-53,29.1,,
20161109,20161109,Exposure1,A2,Ambient,13.89,-52.8,29.2,,
20161109,20161109,Exposure1,A3,Ambient,13.79,-52.4,29.1,,
20161109,20161109,Exposure1,A4,Ambient,13.83,-52.5,29,,
20161109,20161109,Exposure1,B1,low_pH,13.75,-32.9,29,,
20161109,20161109,Exposure1,B2,low_pH,13.7,-33.2,28.7,,
20161109,20161109,Exposure1,B3,low_pH,13.7,-32.3,28.9,,
20161109,20161109,Exposure1,B4,low_pH,13.75,-31.6,29,,
20161109,20161109,Exposure1,Header1,Ambient,14.25,-54.6,29.3,,
20161109,20161109,Exposure1,Header2,low_pH,14.14,-33.2,29.2,,
