Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161123,20161123,Exposure1,A1,Ambient,12.27,-51.6,28.9,,
20161123,20161123,Exposure1,A2,Ambient,12.45,-52.1,29,,
20161123,20161123,Exposure1,A3,Ambient,12.43,-51.4,28.9,,
20161123,20161123,Exposure1,A4,Ambient,12.49,-51.5,29,,
20161123,20161123,Exposure1,B1,low_pH,12.3,-32.1,29.7,,
20161123,20161123,Exposure1,B2,low_pH,12.4,-31.9,29,,
20161123,20161123,Exposure1,B3,low_pH,12.4,-31.6,29,,
20161123,20161123,Exposure1,B4,low_pH,12.24,-32.1,29,,
20161123,20161123,Exposure1,Header1,Ambient,13.17,-55.3,29.4,,
20161123,20161123,Exposure1,Header2,low_pH,13.17,-32.6,29.5,,
