Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161111,20161111,Exposure1,A1,Ambient,13.49,-50.3,29,,
20161111,20161111,Exposure1,A2,Ambient,13.52,-50.5,29,,
20161111,20161111,Exposure1,A3,Ambient,13.59,-50.5,29,,
20161111,20161111,Exposure1,A4,Ambient,13.57,-50.3,29,,
20161111,20161111,Exposure1,B1,low_pH,13.4,-33,29,,
20161111,20161111,Exposure1,B2,low_pH,13.4,-33.1,29,,
20161111,20161111,Exposure1,B3,low_pH,13.5,-32.6,29,,
20161111,20161111,Exposure1,B4,low_pH,13.52,-32.5,29,,
20161111,20161111,Exposure1,Header1,Ambient,13.96,-52.1,29.3,,
20161111,20161111,Exposure1,Header2,low_pH,13.98,-28.8,29.3,,
