Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161003,20161003,Exposure1,A1,Ambient,14.61,-47.8,29.3,,
20161003,20161003,Exposure1,A2,Ambient,14.57,-47.5,29.3,,
20161003,20161003,Exposure1,A3,Ambient,14.59,-44.4,29.3,,
20161003,20161003,Exposure1,A4,Ambient,14.65,-49,29.3,,
20161003,20161003,Exposure1,B1,Ambient,14.55,-48.8,29.3,,
20161003,20161003,Exposure1,B2,Ambient,14.56,-48.6,29.4,,
20161003,20161003,Exposure1,B3,Ambient,14.55,-48.1,29.3,,
20161003,20161003,Exposure1,B4,Ambient,14.57,-49.5,29.3,,
20161003,20161003,Exposure1,Header1,Ambient,15.05,-55.3,29.6,,
20161003,20161003,Exposure1,Header2,Ambient,14.86,-55.1,29.6,,
