Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161017,20161017,Exposure1,A1,Ambient,13.53,-50.3,29.3,,
20161017,20161017,Exposure1,A2,Ambient,13.57,-51.8,29.4,,
20161017,20161017,Exposure1,A3,Ambient,13.59,-51.8,29.4,,
20161017,20161017,Exposure1,A4,Ambient,13.64,-51.5,29.4,,
20161017,20161017,Exposure1,B1,low_pH,13.39,-33,29.4,,
20161017,20161017,Exposure1,B2,low_pH,13.48,-31.8,29.4,,
20161017,20161017,Exposure1,B3,low_pH,13.56,-31.7,29.3,,
20161017,20161017,Exposure1,B4,low_pH,13.54,-31.6,29.4,,
20161017,20161017,Exposure1,Header1,Ambient,13.98,-56.5,29.6,,
20161017,20161017,Exposure1,Header2,low_pH,13.92,-36.7,29.6,,
