Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161019,20161019,Exposure1,A1,Ambient,13.32,-53.1,29.3,,
20161019,20161019,Exposure1,A2,Ambient,13.31,-52.5,29.3,,
20161019,20161019,Exposure1,A3,Ambient,13.35,-52.5,29.4,,
20161019,20161019,Exposure1,A4,Ambient,13.34,-52,29.4,,
20161019,20161019,Exposure1,B1,low_pH,13.27,-32.1,29.3,,
20161019,20161019,Exposure1,B2,low_pH,13.34,-32.3,29.4,,
20161019,20161019,Exposure1,B3,low_pH,13.41,-31.9,29.4,,
20161019,20161019,Exposure1,B4,low_pH,13.39,-32.2,29.4,,
20161019,20161019,Exposure1,Header1,Ambient,13.71,-53.7,29.5,,
20161019,20161019,Exposure1,Header2,low_pH,13.74,-36,29.6,,
