Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161024,20161024,Exposure1,A1,Ambient,13.47,-51.4,29,,
20161024,20161024,Exposure1,A2,Ambient,13.48,-51.5,29.4,,
20161024,20161024,Exposure1,A3,Ambient,13.6,-51.1,29.4,,
20161024,20161024,Exposure1,A4,Ambient,13.59,-50.8,29.3,,
20161024,20161024,Exposure1,B1,low_pH,13.48,-32.6,29.4,,
20161024,20161024,Exposure1,B2,low_pH,13.5,-31.8,29.4,,
20161024,20161024,Exposure1,B3,low_pH,13.57,-31.2,29.3,,
20161024,20161024,Exposure1,B4,low_pH,13.5,-30.6,29.4,,
20161024,20161024,Exposure1,Header1,Ambient,13.98,-33.9,29.6,,
20161024,20161024,Exposure1,Header2,low_pH,13.91,-55.1,29.6,,
