Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161114,20161114,Exposure1,A1,Ambient,13.22,-53.3,29.3,,
20161114,20161114,Exposure1,A2,Ambient,13.22,-53.1,29.3,,
20161114,20161114,Exposure1,A3,Ambient,13.29,-52.4,29.3,,
20161114,20161114,Exposure1,A4,Ambient,13.29,-52.4,29.1,,
20161114,20161114,Exposure1,B1,low_pH,13.15,-32.1,29.3,,
20161114,20161114,Exposure1,B2,low_pH,13.19,-31.9,29.3,,
20161114,20161114,Exposure1,B3,low_pH,13.23,-31.6,29.2,,
20161114,20161114,Exposure1,B4,low_pH,13.2,-31.5,29.4,,
20161114,20161114,Exposure1,Header1,Ambient,13.65,-55.1,29.4,,
20161114,20161114,Exposure1,Header2,low_pH,13.64,-32.4,29.3,,
