Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161028,20161028,Exposure1,A1,Ambient,13.2,-52.1,29.5,,
20161028,20161028,Exposure1,A2,Ambient,13.23,-51.6,29.4,,
20161028,20161028,Exposure1,A3,Ambient,13.32,-51.8,29.3,,
20161028,20161028,Exposure1,A4,Ambient,13.35,-51.4,29.3,,
20161028,20161028,Exposure1,B1,low_pH,13.11,-32.6,29.1,,
20161028,20161028,Exposure1,B2,low_pH,13.24,-33,29.1,,
20161028,20161028,Exposure1,B3,low_pH,13.33,-32.9,29.3,,
20161028,20161028,Exposure1,B4,low_pH,13.29,-32.3,29.3,,
20161028,20161028,Exposure1,Header1,Ambient,13.73,-54.2,29.6,,
20161028,20161028,Exposure1,Header2,low_pH,13.71,-32.1,29.8,,
