Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161026,20161026,Exposure1,A1,Ambient,13.36,-52.6,29.3,,
20161026,20161026,Exposure1,A2,Ambient,13.5,-52.8,29.4,,
20161026,20161026,Exposure1,A3,Ambient,13.53,-52.7,29.4,,
20161026,20161026,Exposure1,A4,Ambient,13.51,-51.8,29.4,,
20161026,20161026,Exposure1,B1,low_pH,13.31,-33,29.3,,
20161026,20161026,Exposure1,B2,low_pH,13.35,-32.8,29.2,,
20161026,20161026,Exposure1,B3,low_pH,13.46,-32.6,29.3,,
20161026,20161026,Exposure1,B4,low_pH,13.39,-32.6,29.2,,
20161026,20161026,Exposure1,Header1,Ambient,13.84,-54.3,29.6,,
20161026,20161026,Exposure1,Header2,low_pH,13.88,-32.6,29.6,,
