Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20160930,20160930,Exposure1,A1,Ambient,13.96,-38.6,29.2,,
20160930,20160930,Exposure1,A2,Ambient,14.14,-43.7,29.3,,
20160930,20160930,Exposure1,A3,Ambient,14.44,-44.2,29.3,,
20160930,20160930,Exposure1,A4,Ambient,14.29,-43.4,29.3,,
20160930,20160930,Exposure1,B1,Ambient,14.4,-44.1,29.3,,
20160930,20160930,Exposure1,B2,Ambient,14.43,-43.6,29.3,,
20160930,20160930,Exposure1,B3,Ambient,14.53,-45,29.3,,
20160930,20160930,Exposure1,B4,Ambient,14.49,-45.8,29.3,,
20160930,20160930,Exposure1,Header1,Ambient,15.09,-58,29.5,,
20160930,20160930,Exposure1,Header2,Ambient,15,-58.1,29.5,,
