Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161007,20161007,Exposure1,A1,Ambient,14.39,-52.4,29,,
20161007,20161007,Exposure1,A2,Ambient,14.43,-52.2,28.9,,
20161007,20161007,Exposure1,A3,Ambient,14.5,-52.3,28.9,,
20161007,20161007,Exposure1,A4,Ambient,14.46,-52,29,,
20161007,20161007,Exposure1,B1,Ambient,14.26,-31.6,28.9,,
20161007,20161007,Exposure1,B2,Ambient,14.33,-29.9,28.8,,
20161007,20161007,Exposure1,B3,Ambient,14.42,-30.2,28.8,,
20161007,20161007,Exposure1,B4,Ambient,14.47,-31,28.8,,
20161007,20161007,Exposure1,Header1,Ambient,14.94,-55.6,29.4,,
20161007,20161007,Exposure1,Header2,Ambient,14.93,-35.6,29.3,,
