Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161006,20161006,Exposure1,A1,Ambient,14.85,-53.2,28.8,,
20161006,20161006,Exposure1,A2,Ambient,14.85,-52.1,28.8,,
20161006,20161006,Exposure1,A3,Ambient,14.71,-51.9,28.7,,
20161006,20161006,Exposure1,A4,Ambient,14.81,-52,28.7,,
20161006,20161006,Exposure1,B1,low_pH,14.66,-37,28.8,,
20161006,20161006,Exposure1,B2,low_pH,14.71,-31.8,28.8,,
20161006,20161006,Exposure1,B3,low_pH,14.75,-30.2,28.8,,
20161006,20161006,Exposure1,B4,low_pH,14.75,-31.3,28.7,,
20161006,20161006,Exposure1,Header1,Ambient,15.07,-54,29.4,,
20161006,20161006,Exposure1,Header2,low_pH,15.1,-39,28.9,,
