Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161021,20161021,Exposure1,A1,Ambient,13.5,-52.2,29.3,,
20161021,20161021,Exposure1,A2,Ambient,13.58,-52.1,29.4,,
20161021,20161021,Exposure1,A3,Ambient,13.61,-51.8,29.5,,
20161021,20161021,Exposure1,A4,Ambient,13.61,-51.4,29.5,,
20161021,20161021,Exposure1,B1,low_pH,13.44,-32.7,29.3,,
20161021,20161021,Exposure1,B2,low_pH,13.58,-32.5,29.3,,
20161021,20161021,Exposure1,B3,low_pH,13.56,-32.3,29.3,,
20161021,20161021,Exposure1,B4,low_pH,13.53,-32.1,29.3,,
20161021,20161021,Exposure1,Header1,Ambient,13.92,-54.8,29.5,,
20161021,20161021,Exposure1,Header2,low_pH,13.9,-33.4,29.4,,
